AMSAssetRef,Latitude,Longitude,State,SnowIceRegion,CorrosionRegionType,StructureClassCode,Height,PaintingType,StructureLoadPercentage,InspectionFrequency
TAS002257_STR_1,-43.007935,147.92267,TAS,No,E (Very High),Pole Steel,30.0,Environment / Aesthetic,99,5.0
TAS002264_STR_1,-41.188854,147.40762,TAS,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,100,7.0
TAS002279_STR_1,-41.35782408,147.03791596,TAS,No,B (Low),Pole Concrete,25.0,Environment / Aesthetic,53,9.0
TAS002284_STR_1,-42.829993955,147.432595532,TAS,No,C (Medium),Pole Steel,20.0,Environment / Aesthetic,99,8.0
TAS002285_STR_1,-41.6871222,147.2576,TAS,No,B (Low),Tower Steel,50.0,Environment / Aesthetic,35,9.0
TAS002300_STR_1,-43.06072,147.85014,TAS,No,E (Very High),Pole Steel,30.0,Environment / Aesthetic,44,6.0
TAS002304_STR_1,-41.455784,147.1611,TAS,No,B (Low),Pole Concrete,30.0,Not Painted,60,7.0
TAS002347_STR_1,-42.786163,147.05243,TAS,No,B (Low),Pole Steel,40.0,Environment / Aesthetic,81.43,8.0
TAS002387_STR_1,-41.04415,145.85562,TAS,No,E (Very High),Pole Concrete,35.0,Not Painted,86,7.0
TAS002455_STR_1,-42.896174,147.289342,TAS,No,C (Medium),Pole Steel,20.0,Environment / Aesthetic,45,7.0
TAS002481_STR_1,-42.82836747,147.30779599,TAS,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,100,7.0
TAS002492_STR_1,-41.179947,146.26118,TAS,No,C (Medium),Pole Steel,18.8,Environment / Aesthetic,38,7.0
TAS002501_STR_1,-41.58066,145.93109,TAS,Yes,A (Very Low),Tower Steel,50.0,Environment / Aesthetic,55,8.0
TAS002502_STR_1,-41.374735258,147.122450833,TAS,No,B (Low),Pole Steel,35.0,Environment / Aesthetic,97,7.0
TAS002504_STR_1,-41.06358,145.87787,TAS,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,98,7.0
TAS002505_STR_1,-42.835705632,147.205447041,TAS,No,B (Low),Pole Steel,23.8,Not Painted,99,9.0
TAS002513_STR_1,-41.47674,147.14279,TAS,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,87,8.0
TAS002543_STR_1,-41.550483939,146.955350614,TAS,No,B (Low),Pole Steel,40.0,Environment / Aesthetic,53.6,10.0
TAS002574_STR_1,-41.16602,146.35905,TAS,No,E (Very High),Mast Free Standing,30.0,Not Painted,76,4.0
TAS002598_STR_1,-41.200554,147.67302,TAS,No,C (Medium),Tower Steel,60.0,Environment / Aesthetic,94,7.0
TAS002600_STR_1,-42.061237695,147.473678459,TAS,No,B (Low),Pole Steel,18.8,Environment / Aesthetic,14,10.0
TAS002619_STR_1,-42.547049547,147.210661218,TAS,No,B (Low),Pole Steel,33.8,Environment / Aesthetic,100,10.0
TAS002860_STR_1,-42.352231,147.981231,TAS,No,C (Medium),Pole Concrete,35.0,Not Painted,94,7.0
